# Deleted Objects Ledger
#  Initialized: 2025-11-06
# Purpose: Permanent ledger of retired or obsolete objects.
# No rows are ever removed. Resurrection is annotated in the Notes column.

Object ID,Canonical Name,Date of Deletion,Origin File,Reason,Notes
T82,Createmeetingpreptemplate,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.1.3 was removed,
T83,Testprocesswith12customers,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.1.4 was removed,
T84,Adjustandscalerollout,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.1.4 was removed,
T85,DraftofficialmessagingtorolloutincreasesincludecontextonIEEPAtariffskeyimpactedtariffstimelinesandcommunicationtoneandsendtoAdamforreview,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.1 was removed,
T86,Spend30mincomparingpretariffposttariffactualmarginsonPiecePriceIncreasecustomersdownto100ksalestoseeifweactuallymaintainedmargin,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.1 was removed,
T87,Reviewallmyrepsaccountsandconfirmtheapproachwelltakeforthem,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.1 was removed,Bryce (done)NickKyleDave
T88,GroupcustomersbyMeansofImplmentation,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.1 was removed,SurchargePiece Price Increase as neededAM & Sales rep will monitor and increase prices as necessary on parts.Nothing
T75.1,GetfeedbackfromKarlaongettingaccessforMikeScheweDanCoxJacobPotterLeoRivas,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed from Project-Boltwise-Last-Piece.md during synchronization,
P3.2,PhasesTasks,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.1,Phase1DefineScopeCustomerList,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.2,Phase2FinalizeandRefineAttachmentAContentFormat,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.3,Phase3FinalizeAttachmentAProcessownershipWorkInstructions,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.4,Phase4PilotRollouttoSelectAccounts,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.5,Phase5FullRollouttoTopCustomers,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.2.6,Phase6FollowupTrackingMetrics,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P10.2,EvaluateEfficiencyEffectivenessofBoltwisevsCurrentProcess,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed duplicate project ledger entry,
P8.2,PhasesTasks,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.2.1,Phase1BuildInventoryReportFramework,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.2.2,Phase2EstablishAccountabilityProcess,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.2.3,Phase3SchedulingCadence,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.2.4,Phase4PilotRefine,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P1.2,Actions,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed duplicate project ledger entry,
T89,CreateAttachmentArollouttrackerlistingalltargetcustomersandplannedsenddatesSourcelistpulledfromPowerBI,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.1 was removed,
T90,SchedulemeetingwithChrisforweekof1110toreviewplanprogress,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.1 was removed,
T91,ZachwillpullKarlasCostSavingsSmarsheetintoAttachmentAtemplate,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.2 was removed,
T92,OnceZachpullsinSmartsheetCreatelogictouseColdStartLTinsteadofpublishedLTforsupplierstockedparts,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.2 was removed,
T93,ConfirmversioningandstoragelocationWherewillitbekeptDatereferenceisprobablyok,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.2 was removed,
T94,EstablishlogicforLeadTimetoCustomercolumnonthecustomercopy,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.2 was removed,"I recommend we use the placeholder ""transit"", but we need to be sensitive to what looks best to most customers"
